Department,Course Count
AANL,2
AKKD,6
ANTH,134
ARAB,52
ARAM,6
ARCH,58
ARME,8
ARTH,103
ARTV,80
ASLG,10
ASTR,30
BANG,9
BASQ,10
BCSN,13
BIOS,144
BUSN,33
CATA,19
CEGU,99
CHDV,54
CHEM,77
CHIN,69
CLCV,58
CMLT,74
CMSC,90
CMST,78
COGS,20
CRWR,96
CZEC,7
DATA,24
DEMS,13
DIGS,12
EALC,63
ECMA,23
ECON,190
EGPT,7
ENGL,156
ENSC,21
ENST,123
FNDL,81
FREN,95
GEEZ,1
GEOS,42
GISC,22
GLST,87
GNSE,149
GREK,18
GRMN,40
HEBR,23
HIND,14
HIPS,90
HIST,199
HMRT,76
IRHU,9
ITAL,84
JAPN,24
JWSC,52
KAZK,3
KORE,22
KREY,7
LACS,77
LATN,20
LING,51
LLSO,48
MAAD,102
MACS,17
MAPS,1
MARA,14
MATH,81
MDVL,62
MENG,68
MOGK,9
MUSI,82
NEAA,14
NEHC,93
NELG,1
NORW,8
NSCI,53
PBPL,116
PERS,10
PHIL,83
PHYS,36
PLSC,85
POLI,10
PORT,24
PPHA,1
PSYC,62
RDIN,72
REES,75
RLST,135
RUSS,18
SALC,75
SANS,8
SCPD,10
SOCI,49
SPAN,98
SSAD,18
STAT,49
SUMR,9
SWAH,9
TAML,8
TAPS,51
TBTN,8
TURK,23
URDU,8
UZBK,8
YDDH,6
